model,system,attack,position,n_episodes,context_window_tokens,mean_output_words,max_output_words,mean_output_chars,max_output_chars,truncation_observed,truncated_count,truncation_rate,audit_verdict
Qwen/Qwen2.5-1.5B-Instruct,hardened,A0_static_templates,0,400,2048,13.4,56,86.9,373,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-1.5B-Instruct,hardened,A0_static_templates,2,400,2048,14.2,58,91.8,373,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-1.5B-Instruct,hardened,A0_static_templates,4,400,2048,13.9,58,90.1,370,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-1.5B-Instruct,hardened,A1_query_conditioned,0,400,2048,9.8,51,63.2,339,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-1.5B-Instruct,hardened,A1_query_conditioned,2,400,2048,13.8,58,89.4,423,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-1.5B-Instruct,hardened,A1_query_conditioned,4,400,2048,13.9,58,90.4,397,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-1.5B-Instruct,hardened,A2_imperative_free,0,400,2048,13.5,58,87.0,408,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-1.5B-Instruct,hardened,A2_imperative_free,2,400,2048,13.5,58,88.2,413,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-1.5B-Instruct,hardened,A2_imperative_free,4,400,2048,13.3,58,86.3,354,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-1.5B-Instruct,hardened,A3_semantic_camouflage,0,400,2048,14.8,56,95.4,384,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-1.5B-Instruct,hardened,A3_semantic_camouflage,2,400,2048,13.9,56,90.2,373,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-1.5B-Instruct,hardened,A3_semantic_camouflage,4,400,2048,13.8,56,89.7,383,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-1.5B-Instruct,hardened,A4_length_matched,0,400,2048,13.8,55,88.8,374,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-1.5B-Instruct,hardened,A4_length_matched,2,400,2048,14.0,56,90.8,361,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-1.5B-Instruct,hardened,A4_length_matched,4,400,2048,13.9,56,90.1,357,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-1.5B-Instruct,hardened,A5_score_guided,0,400,2048,13.6,59,88.5,389,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-1.5B-Instruct,hardened,A5_score_guided,2,400,2048,13.8,58,88.9,373,False,0,0.0,PASSED_NO_TRUNCATION
Qwen/Qwen2.5-1.5B-Instruct,hardened,A5_score_guided,4,400,2048,13.9,55,89.7,373,False,0,0.0,PASSED_NO_TRUNCATION
