qid,query,dataset,char_len,word_count
1,0-dimensional biomaterials show inductive properties.,scifact,53,5
100,All hematopoietic stem cells segregate their chromosomes randomly.,scifact,66,8
1012,Radioiodine treatment of non-toxic multinodular goitre reduces thyroid volume.,scifact,78,9
1014,Rapamycin decreases the concentration of triacylglycerols in fruit flies.,scifact,73,9
1019,Rapid phosphotransfer rates govern fidelity in two component systems,scifact,68,9
1020,Rapid up-regulation and higher basal expression of interferon-induced genes increase survival of granule cell neurons that are infected by West Nile virus.,scifact,155,22
1021,Rapid up-regulation and higher basal expression of interferon-induced genes reduce survival of granule cell neurons that are infected by West Nile virus.,scifact,153,22
1024,Recurrent mutations occur frequently within CTCF anchor sites adjacent to oncogenes.,scifact,84,11
1029,Reduced responsiveness to interleukin-2 in regulatory T cells is associated with greater resistance to autoimmune diseases such as Type 1 Diabetes.,scifact,147,21
1041,Replacement of histone H2A with H2A.Z slows gene activation in yeasts by stabilizing +1 nucleosomes.,scifact,100,15
1049,Ribosomopathies have a low degree of cell and tissue specific pathology.,scifact,72,11
1062,S-nitrosylated GAPDH physiologically transnitrosylates histone deacetylases.,scifact,76,6
1086,Sildenafil improves erectile function in men who experience sexual dysfunction as a result of the use of SSRI antidepressants.,scifact,126,19
1088,Silencing of Bcl2 is important for the maintenance and progression of tumors.,scifact,77,12
1089,Smc5/6 engagment drives the activation of SUMO E3 ligase Mms21 by ATP-dependent remolding.,scifact,90,13
1099,Statins decrease blood cholesterol.,scifact,35,4
1100,Statins increase blood cholesterol.,scifact,35,4
1104,Stroke patients with prior use of direct oral anticoagulants have a lower risk of in-hospital mortality than stroke patients with prior use of warfarin.,scifact,152,24
1107,Subcutaneous fat depots undergo extensive browning processes after cold exposure.,scifact,81,10
1110,Suboptimal nutrition is not predictive of chronic disease,scifact,57,8
1121,Synaptic activity enhances local release of brain derived neurotrophic factor from postsynaptic dendrites.,scifact,106,13
113,Angiotensin converting enzyme inhibitors are associated with increased risk for functional renal insufficiency.,scifact,111,13
1130,T regulatory cells (tTregs) lacking αvβ8 are more adept at suppressing pathogenic T-cell responses during active inflammation.,scifact,126,17
1132,TCR/CD3 microdomains are a required to induce the immunologic synapse to activate T cells.,scifact,90,14
1137,TNFAIP3 is a tumor suppressor in glioblastoma.,scifact,46,7
1140,Taking 400mg of α-tocopheryl acetate helps to prevent prostate cancer.,scifact,70,10
1144,Taxation of sugar-sweetened beverages had no effect on the incidence rate of type II diabetes in India.,scifact,103,17
1146,Teaching hospitals do not provide better care than non-teaching hospitals.,scifact,74,10
115,Anthrax spores can be disposed of easily after they are dispersed.,scifact,66,11
1150,Tetraspanin-3 is a causative factor in the development of acute myelogenous leukemia,scifact,84,12
1163,The DdrB protein from Deinococcus radiodurans is an alternative SSB.,scifact,68,10
1175,The PPR MDA5 has two N-terminal CARD domains.,scifact,45,8
1179,The PRR MDA5 has a central DExD/H RNA helices domain.,scifact,53,10
118,Antibiotic induced alterations in the gut microbiome reduce resistance against Clostridium difficile,scifact,100,12
1180,The PRR MDA5 is a sensor of RNA virus infection.,scifact,48,10
1185,The US health care system can save up to $750 million if 7% of patients waiting for kidney transplants participate in the optimized national kidney paired donation program.,scifact,172,28
1187,The YAP1 and TEAD complex tanslocates into the nucleus where it interacts with transcription factors and DNA-binding proteins that modulate target gene transcription.,scifact,166,23
1191,The amount of publicly available DNA data doubles every 10 years.,scifact,65,11
1194,The arm density of TatAd complexes is due to structural rearrangements within Class1 TatAd complexes such as the 'charge zipper mechanism'.,scifact,139,21
