doc_id,document_text,split,purpose,char_length
39462488,"Replisome stalling and stabilization at CGG repeats, which are responsible for chromosomal fragility Expanded CGG repeats cause chromosomal fragility and hereditary neurological disorders in humans. Replication forks stall at CGG repeats in a length-dependent manner in primate cells and in yeast. Saccharomyces cerevisiae proteins Tof1 and Mrc1 facilitate replication fork progression through CGG repeats. Remarkably, the fork-stabilizing role of Mrc1 does not involve its checkpoint function. Thus, chromosomal fragility might occur when forks stalled at expanded CGG repeats escape the S-phase checkpoint.",calibration,detector_threshold_calibration_at_target_fpr,608
7975937,"Cyclooxygenase-Dependent Tumor Growth through Evasion of Immunity The mechanisms by which melanoma and other cancer cells evade anti-tumor immunity remain incompletely understood. Here, we show that the growth of tumors formed by mutant Braf(V600E) mouse melanoma cells in an immunocompetent host requires their production of prostaglandin E2, which suppresses immunity and fuels tumor-promoting inflammation. Genetic ablation of cyclooxygenases (COX) or prostaglandin E synthases in Braf(V600E) mouse melanoma cells, as well as in Nras(G12D) melanoma or in breast or colorectal cancer cells, renders them susceptible to immune control and provokes a shift in the tumor inflammatory profile toward classic anti-cancer immune pathways. This mouse COX-dependent inflammatory signature is remarkably conserved in human cutaneous melanoma biopsies, arguing for COX activity as a driver of immune suppression across species. Pre-clinical data demonstrate that inhibition of COX synergizes with anti-PD-1 blockade in inducing eradication of tumors, implying that COX inhibitors could be useful adjuvants for immune-based therapies in cancer patients.",calibration,detector_threshold_calibration_at_target_fpr,1144
2211868,"Epidemiological expansion, structural studies, and clinical challenges of new β-lactamases from gram-negative bacteria. β-Lactamase evolution presents to the infectious disease community a major challenge in the treatment of infections caused by multidrug-resistant gram-negative bacteria. Because over 1,000 of these naturally occurring β-lactamases exist, attempts to correlate structure and function have become daunting. Although new enzymes in the extended-spectrum β-lactamase (ESBL) families are frequently identified, the older CTX-M-14 and CTX-M-15 enzymes have become the most prevalent ESBLs in global surveillance. Carbapenemases with either serine-based or zinc-facilitated hydrolysis mechanisms are posing some of the most critical problems. Most geographical regions now report KPC serine carbapenemases and the metallo-β-lactamases VIM, IMP, and NDM-1, even though NDM-1 was only recently identified. The rapid emergence of these newer enzymes, with multiple β-lactamases appearing in a single organism, makes the design of new β-lactamase inactivators or β-lactamase-stable β-lactams all the more difficult. Combination therapy will likely be required to counteract the continuing evolution of these insidious enzymes in multidrug-resistant pathogens.",calibration,detector_threshold_calibration_at_target_fpr,1268
26079071,"Crizotinib in ROS1-rearranged non-small-cell lung cancer. BACKGROUND Chromosomal rearrangements of the gene encoding ROS1 proto-oncogene receptor tyrosine kinase (ROS1) define a distinct molecular subgroup of non-small-cell lung cancers (NSCLCs) that may be susceptible to therapeutic ROS1 kinase inhibition. Crizotinib is a small-molecule tyrosine kinase inhibitor of anaplastic lymphoma kinase (ALK), ROS1, and another proto-oncogene receptor tyrosine kinase, MET. METHODS We enrolled 50 patients with advanced NSCLC who tested positive for ROS1 rearrangement in an expansion cohort of the phase 1 study of crizotinib. Patients were treated with crizotinib at the standard oral dose of 250 mg twice daily and assessed for safety, pharmacokinetics, and response to therapy. ROS1 fusion partners were identified with the use of next-generation sequencing or reverse-transcriptase-polymerase-chain-reaction assays. RESULTS The objective response rate was 72% (95% confidence interval [CI], 58 to 84), with 3 complete responses and 33 partial responses. The median duration of response was 17.6 months (95% CI, 14.5 to not reached). Median progression-free survival was 19.2 months (95% CI, 14.4 to not reached), with 25 patients (50%) still in follow-up for progression. Among 30 tumors that were tested, we identified 7 ROS1 fusion partners: 5 known and 2 novel partner genes. No correlation was observed between the type of ROS1 rearrangement and the clinical response to crizotinib. The safety profile of crizotinib was similar to that seen in patients with ALK-rearranged NSCLC. CONCLUSIONS In this study, crizotinib showed marked antitumor activity in patients with advanced ROS1-rearranged NSCLC. ROS1 rearrangement defines a second molecular subgroup of NSCLC for which crizotinib is highly active. (Funded by Pfizer and others; ClinicalTrials.gov number, NCT00585195.).",calibration,detector_threshold_calibration_at_target_fpr,1876
67787658,"Cycling Quiescence in Temozolomide Resistant Glioblastoma Cells Is Partly Explained by microRNA-93 and -193-Mediated Decrease of Cyclin D Glioblastoma multiforme (GBM) is a fatal malignancy of the central nervous system, commonly associated with chemoresistance. The alkylating agent Temozolomide (TMZ) is the front-line chemotherapeutic agent and has undergone intense studies on resistance. These studies reported on mismatch repair gene upregulation, ABC-targeted drug efflux, and cell cycle alterations. The mechanism by which TMZ induces cell cycle arrest has not been well-established. TMZ-resistant GBM cells have been linked to microRNA (miRNA) and exosomes. A cell cycle miRNA array identified distinct miRNAs only in exosomes from TMZ-resistant GBM cell lines and primary spheres. We narrowed the miRs to miR-93 and -193 and showed in computational analyses that they could target Cyclin D1. Since Cyclin D1 is a major regulator of cell cycle progression, we performed cause-effect studies and showed a blunting effects of miR-93 and -193 in Cyclin D1 expression. These two miRs also decreased cell cycling quiescence and induced resistance to TMZ. Taken together, our data provide a mechanism by which GBM cells can exhibit TMZ-induced resistance through miRNA targeting of Cyclin D1. The data provide a number of therapeutic approaches to reverse chemoresistance at the miRNA, exosomal and cell cycle points.",calibration,detector_threshold_calibration_at_target_fpr,1420
14938990,"Upregulated PD-1 Expression Is Associated with the Development of Systemic Lupus Erythematosus, but Not the PD-1.1 Allele of the PDCD1 Gene Systemic lupus erythematosus (SLE) is a multisystem autoimmune disease with complicated genetic inheritance. Programmed death 1 (PD-1), a negative T cell regulator to maintain peripheral tolerance, induces negative signals to T cells during interaction with its ligands and is therefore a candidate gene in the development of SLE. In order to examine whether expression levels of PD-1 contribute to the pathogenesis of SLE, 30 patients with SLE and 30 controls were recruited and their PD-1 expression levels in peripheral blood mononuclear cells (PBMCs) were measured via flow cytometry and quantitative real-time-reverse transcription polymerase chain reaction (RT-PCR). Also, whether PD-1 expression levels are associated with the variant of the SNP rs36084323 and the SLE Disease Activity Index (SLEDAI) was studied in this work. The PD-1 expression levels of SLE patients were significantly increased compared with those of the healthy controls. The upregulated PD-1 expression levels in SLE patients were greatly associated with SLEDAI scores. No significant difference was found between PD-1 expression levels and SNP rs36084323. The results suggest that increased expression of PD-1 may correlate with the pathogenesis of SLE, upregulated PD-1 expression may be a biomarker for SLE diagnosis, and PD-1 inhibitor may be useful to SLE treatment.",calibration,detector_threshold_calibration_at_target_fpr,1491
18237384,"Inducing Tumor Immunity through the Selective Engagement of Activating Fcγ Receptors on Dendritic Cells Induction of tumor-specific immunity requires that dendritic cells (DCs) efficiently capture and present tumor antigens to result in the expansion and activation of tumor-specific cytotoxic T cells. The transition from antigen capture to T cell stimulation requires a maturation signal; in its absence tolerance, rather than immunity may develop. While immune complexes (ICs) are able to enhance antigen capture, they can be poor at inducing DC maturation, naive T cell activation and protective immunity. We now demonstrate that interfering with the inhibitory signal delivered by FcγRIIB on DCs converts ICs to potent maturation agents and results in T cell activation. Applying this approach to immunization with DCs pulsed ex-vivo with ICs, we have generated antigen-specific CD8+ T cells in vivo and achieved efficient protective immunity in a murine melanoma model. These data imply that ICs may normally function to maintain tolerance through the binding to inhibitory FcγRs on DCs, but they can be converted to potent immunogenic stimuli by selective engagement of activating FcγRs. This mechanism suggests a novel approach to the development of tumor vaccines.",calibration,detector_threshold_calibration_at_target_fpr,1273
24276304,"The epidemiology of major depressive disorder: results from the National Comorbidity Survey Replication (NCS-R). CONTEXT Uncertainties exist about prevalence and correlates of major depressive disorder (MDD). OBJECTIVE To present nationally representative data on prevalence and correlates of MDD by Diagnostic and Statistical Manual of Mental Disorders, Fourth Edition (DSM-IV) criteria, and on study patterns and correlates of treatment and treatment adequacy from the recently completed National Comorbidity Survey Replication (NCS-R). DESIGN Face-to-face household survey conducted from February 2001 to December 2002. SETTING The 48 contiguous United States. PARTICIPANTS Household residents ages 18 years or older (N = 9090) who responded to the NCS-R survey. MAIN OUTCOME MEASURES Prevalence and correlates of MDD using the World Health Organization's (WHO) Composite International Diagnostic Interview (CIDI), 12-month severity with the Quick Inventory of Depressive Symptomatology Self-Report (QIDS-SR), the Sheehan Disability Scale (SDS), and the WHO disability assessment scale (WHO-DAS). Clinical reinterviews used the Structured Clinical Interview for DSM-IV. RESULTS The prevalence of CIDI MDD for lifetime was 16.2% (95% confidence interval [CI], 15.1-17.3) (32.6-35.1 million US adults) and for 12-month was 6.6% (95% CI, 5.9-7.3) (13.1-14.2 million US adults). Virtually all CIDI 12-month cases were independently classified as clinically significant using the QIDS-SR, with 10.4% mild, 38.6% moderate, 38.0% severe, and 12.9% very severe. Mean episode duration was 16 weeks (95% CI, 15.1-17.3). Role impairment as measured by SDS was substantial as indicated by 59.3% of 12-month cases with severe or very severe role impairment. Most lifetime (72.1%) and 12-month (78.5%) cases had comorbid CIDI/DSM-IV disorders, with MDD only rarely primary. Although 51.6% (95% CI, 46.1-57.2) of 12-month cases received health care treatment for MDD, treatment was adequate in only 41.9% (95% CI, 35.9-47.9) of these cases, resulting in 21.7% (95% CI, 18.1-25.2) of 12-month MDD being adequately treated. Sociodemographic correlates of treatment were far less numerous than those of prevalence. CONCLUSIONS Major depressive disorder is a common disorder, widely distributed in the population, and usually associated with substantial symptom severity and role impairment. While the recent increase in treatment is encouraging, inadequate treatment is a serious concern. Emphasis on screening and expansion of treatment needs to be accompanied by a parallel emphasis on treatment quality improvement.",calibration,detector_threshold_calibration_at_target_fpr,2603
23117928,"Inter-viral conflicts that exploit host CRISPR immune systems of Sulfolobus. Infection of Sulfolobus islandicus REY15A with mixtures of different Sulfolobus viruses, including STSV2, did not induce spacer acquisition by the host CRISPR immune system. However, coinfection with the tailed fusiform viruses SMV1 and STSV2 generated hyperactive spacer acquisition in both CRISPR loci, exclusively from STSV2, with the resultant loss of STSV2 but not SMV1. SMV1 was shown to activate adaptation while itself being resistant to CRISPR-mediated adaptation and DNA interference. Exceptionally, a single clone S-1 isolated from an SMV1 + STSV2-infected culture, that carried STSV2-specific spacers and had lost STSV2 but not SMV1, acquired spacers from SMV1. This effect was also reproducible on reinfecting wild-type host cells with a variant SMV1 isolated from the S-1 culture. The SMV1 variant lacked a virion protein ORF114 that was shown to bind DNA. This study also provided evidence for: (i) limits on the maximum sizes of CRISPR loci; (ii) spacer uptake strongly retarding growth of infected cultures; (iii) protospacer selection being essentially random and non-directional, and (iv) the reversible uptake of spacers from STSV2 and SMV1. A hypothesis is presented to explain the interactive conflicts between SMV1 and the host CRISPR immune system.",calibration,detector_threshold_calibration_at_target_fpr,1349
18358026,"Oxidative damage targets complexes containing DNA methyltransferases, SIRT1, and polycomb members to promoter CpG Islands. Cancer cells simultaneously harbor global losses and gains in DNA methylation. We demonstrate that inducing cellular oxidative stress by hydrogen peroxide treatment recruits DNA methyltransferase 1 (DNMT1) to damaged chromatin. DNMT1 becomes part of a complex(es) containing DNMT3B and members of the polycomb repressive complex 4. Hydrogen peroxide treatment causes relocalization of these proteins from non-GC-rich to GC-rich areas. Key components are similarly enriched at gene promoters in an in vivo colitis model. Although high-expression genes enriched for members of the complex have histone mark and nascent transcription changes, CpG island-containing low-expression genes gain promoter DNA methylation. Thus, oxidative damage induces formation and relocalization of a silencing complex that may explain cancer-specific aberrant DNA methylation and transcriptional silencing.",calibration,detector_threshold_calibration_at_target_fpr,1008
26668245,"Fear of falling and visual field loss from glaucoma. OBJECTIVE To determine if visual field (VF) loss resulting from glaucoma is associated with greater fear of falling. DESIGN Prospective, observational study. PARTICIPANTS Fear of falling was compared between 83 glaucoma subjects with bilateral VF loss and 60 control subjects with good visual acuity and without significant VF loss recruited from patients followed up for suspicion of glaucoma. METHODS Participants completed the University of Illinois at Chicago Fear of Falling Questionnaire. The extent of fear of falling was assessed using Rasch analysis. MAIN OUTCOME MEASURES Subject ability to perform tasks without fear of falling was expressed in logits, with lower scores implying less ability and greater fear of falling. RESULTS Glaucoma subjects had greater VF loss than control subjects (median better-eye mean deviation [MD] of -8.0 decibels [dB] vs. +0.2 dB; P<0.001), but did not differ with regard to age, race, gender, employment status, the presence of other adults in the home, body mass index (BMI), grip strength, cognitive ability, mood, or comorbid illness (P ≥ 0.1 for all). In multivariate models, glaucoma subjects reported greater fear of falling as compared with controls (β = -1.20 logits; 95% confidence interval [CI], -1.87 to -0.53; P = 0.001), and fear of falling increased with greater VF loss severity (β = -0.52 logits per 5-dB decrement in the better eye VF MD; 95% CI, -0.72 to -0.33; P<0.001). Other variables predicting greater fear of falling included female gender (β = -0.55 logits; 95% CI, -1.03 to -0.06; P = 0.03), higher BMI (β = -0.07 logits per 1-unit increase in BMI; 95% CI, -0.13 to -0.01; P = 0.02), living with another adult (β = -1.16 logits; 95% CI, -0.34 to -1.99 logits; P = 0.006), and greater comorbid illness (β = -0.53 logits/1 additional illness; 95% CI, -0.74 to -0.32; P<0.001). CONCLUSIONS Bilateral VF loss resulting from glaucoma is associated with greater fear of falling, with an impact that exceeds numerous other risk factors. Given the physical and psychological repercussions associated with fear of falling, significant quality-of-life improvements may be achievable in patients with VF loss by screening for, and developing interventions to minimize, fear of falling.",calibration,detector_threshold_calibration_at_target_fpr,2298
3230361,"Generation and characterization of methyl-lysine histone antibodies. Publisher Summary This chapter summarizes the development and characterization of rabbit polyclonal antibodies named histone that are directed against the methylated H3-K9 position. It provides protocols for peptide design, rabbit immunizations, and quality controls of methyl-lysine histone antibodies, followed by their in vivo characterization using indirect IF of inter-and metaphase chromatin in wild-type (wt) and mutant mouse cells that are deficient for the Suv39h histone methyltransferases (HMTases). Histone amino-termini (tails) protrude from the nucleosome core and are subject to a variety of post-translational modifications, including acetylation (on lysine residues), phosphorylation (on serine and threonine residues), methylation (on lysine and arginine residues), ubiquitination (on lysine residues), and ADP-ribosylation (on glutamic acid residues). In addition to their structural roles, histones play important functions in the control of gene expression by regulating access to the underlying nucleosomal template. It is without doubt that the development of high-quality, position-specific methyl-lysine histone antibodies can provide important tools for the further decoding of the epigenetic information, which is in part, indexed by distinct methylation states of selective lysine residues in the histone amino-termini. A comparative analysis indicates significant discrepancies in the specificity and avidity of the available methyl-lysine histone antibodies and highlights the need for extensive quality controls, such that experimental data can be correctly interpreted despite the exquisite complexity of histone lysine methylation.",calibration,detector_threshold_calibration_at_target_fpr,1733
9257019,"Discovery of endogenous catecholamines in lymphocytes and evidence for catecholamine regulation of lymphocyte function via an autocrine loop. Evidence has been obtained that catecholamines and their metabolites are present in single lymphocytes and extracts of T- and B-cell clones by use of capillary electrophoresis with electrochemical detection. Pharmacological inhibition of tyrosine hydroxylase reduces observed catecholamine levels, suggesting catecholamine synthesis by lymphocytes. Intracellular dopamine levels are shown to be increased by extra-cellular dopamine, suggesting a cellular-uptake mechanism. Furthermore, incubation with either dopamine or L-dihydroxyphenylalanine, a precursor of dopamine, results in a dose-dependent inhibition of lymphocyte proliferation and differentiation. Together, these results suggest the presence of an autocrine loop whereby lymphocytes down-regulate their own activity.",calibration,detector_threshold_calibration_at_target_fpr,921
5270265,"Combating trastuzumab resistance by targeting SRC, a common node downstream of multiple resistance pathways Trastuzumab is a successful rationally designed ERBB2-targeted therapy. However, about half of individuals with ERBB2-overexpressing breast cancer do not respond to trastuzumab-based therapies, owing to various resistance mechanisms. Clinically applicable regimens for overcoming trastuzumab resistance of different mechanisms are not yet available. We show that the nonreceptor tyrosine kinase c-SRC (SRC) is a key modulator of trastuzumab response and a common node downstream of multiple trastuzumab resistance pathways. We find that SRC is activated in both acquired and de novo trastuzumab-resistant cells and uncover a novel mechanism of SRC regulation involving dephosphorylation by PTEN. Increased SRC activation conferred considerable trastuzumab resistance in breast cancer cells and correlated with trastuzumab resistance in patients. Targeting SRC in combination with trastuzumab sensitized multiple lines of trastuzumab-resistant cells to trastuzumab and eliminated trastuzumab-resistant tumors in vivo, suggesting the potential clinical application of this strategy to overcome trastuzumab resistance.",calibration,detector_threshold_calibration_at_target_fpr,1223
39652608,"Trim and fill: A simple funnel-plot-based method of testing and adjusting for publication bias in meta-analysis. We study recently developed nonparametric methods for estimating the number of missing studies that might exist in a meta-analysis and the effect that these studies might have had on its outcome. These are simple rank-based data augmentation techniques, which formalize the use of funnel plots. We show that they provide effective and relatively powerful tests for evaluating the existence of such publication bias. After adjusting for missing studies, we find that the point estimate of the overall effect size is approximately correct and coverage of the effect size confidence intervals is substantially improved, in many cases recovering the nominal confidence levels entirely. We illustrate the trim and fill method on existing meta-analyses of studies in clinical trials and psychometrics.",calibration,detector_threshold_calibration_at_target_fpr,908
